0	power	lat	lon	id	line_attachment	material	operator	source	design	ref	description	line_management	location:transition	structure	colour	cables	voltage	tower:type
313	tower	41.1704515	-8.4579796	1556207220						NA						NA	NA	
314	tower	41.1744652	-8.4572162	1556207221						NA						NA	NA	
315	tower	41.1797948	-8.4562095	1556207224						NA						NA	NA	
316	tower	41.1832568	-8.4555348	1556207225						NA						NA	NA	
317	tower	41.1881095	-8.4546329	1556207226						NA						NA	NA	
318	tower	41.1925554	-8.4538178	1556207228						NA						NA	NA	
319	tower	41.1965257	-8.4530588	1556207238						NA						NA	NA	
320	tower	41.2016766	-8.4518893	1556207240						NA						NA	NA	
321	tower	41.204207	-8.4230744	1556207242						NA						NA	NA	
322	tower	41.204954	-8.4509362	1556207243						NA						NA	NA	
323	tower	41.2062317	-8.4135539	1556207244						NA						NA	NA	
324	tower	41.2070638	-8.4305138	1556207255						NA						NA	NA	
325	tower	41.2073793	-8.41127	1556207256						NA						NA	NA	
326	tower	41.2074248	-8.4501059	1556207266						NA						NA	NA	
327	tower	41.2095864	-8.4067617	1556207269						NA						NA	NA	
328	tower	41.2096298	-8.4007449	1556207270						NA						NA	NA	
329	tower	41.2104815	-8.434731	1556207272						NA						NA	NA	
330	tower	41.2114586	-8.4381018	1556207283						NA						NA	NA	
331	tower	41.2117655	-8.4484014	1556207285						NA						NA	NA	
332	tower	41.2123798	-8.4421053	1556207286						NA						NA	NA	
333	tower	41.2135899	-8.449195	1556207287						NA						NA	NA	
334	tower	41.2136594	-8.4480809	1556207288						NA						NA	NA	
335	tower	41.2141236	-8.4504241	1556207289						NA						NA	NA	
336	tower	41.2145823	-8.450394	1556207291						NA						NA	NA	
337	tower	41.2152135	-8.4558898	1556207326						NA						NA	NA	
338	tower	41.216974	-8.4646156	1556207333						NA						NA	NA	
339	tower	41.2177988	-8.4685696	1556207338					three-level	NA						NA	NA	
340	tower	41.2191722	-8.4752908	1556207345					three-level	NA						NA	NA	
341	tower	41.220636	-8.4824494	1556207351						NA						NA	NA	
342	tower	41.2220645	-8.4896372	1556207359						NA						NA	NA	
343	tower	41.2233949	-8.4962029	1556207410						NA						NA	NA	
344	tower	41.2247086	-8.5027226	1556207415						NA						NA	NA	
345	tower	41.2278301	-8.509664	1556207420						NA						NA	NA	
346	tower	41.2291414	-8.5124405	1556207430						NA						NA	NA	
347	tower	41.2306107	-8.602581	1556207507						NA						NA	NA	
348	tower	41.2309941	-8.5165605	1556207585				Bing		NA						NA	NA	
349	tower	41.2317596	-8.6030555	1556207705						NA						NA	NA	
350	tower	41.2316575	-8.6042648	1556207780						NA						NA	NA	
351	tower	41.2321389	-8.6000854	1556207793						NA						NA	NA	
352	tower	41.2318176	-8.6044279	1556207798						NA						NA	NA	
353	tower	41.2321357	-8.6010289	1556207800						NA						NA	NA	
354	tower	41.2324726	-8.51981	1556207805				Bing		NA						NA	NA	
355	tower	41.2327727	-8.5232466	1556207807				Bing		NA						NA	NA	
356	tower	41.2329304	-8.5983202	1556207817						NA						NA	NA	
357	tower	41.2331891	-8.52782	1556207881				Bing		NA						NA	NA	
358	tower	41.2338101	-8.5331767	1556207883				Bing		NA						NA	NA	
359	tower	41.2340844	-8.535306	1556207886				Bing		NA						NA	NA	
360	tower	41.2343578	-8.5938098	1556207888						NA						NA	NA	
361	tower	41.2345732	-8.5395017	1556207897				Bing		NA						NA	NA	
362	tower	41.235041	-8.5443159	1556207904						NA						NA	NA	
363	tower	41.235238	-8.5912188	1556207965						NA						NA	NA	
364	tower	41.2355167	-8.5487279	1556207972				Bing		NA						NA	NA	
365	tower	41.2361132	-8.5542182	1556207980				Bing		NA						NA	NA	
366	tower	41.2366339	-8.5592731	1556207982						NA						NA	NA	
367	tower	41.2368293	-8.5862335	1556207984						NA						NA	NA	
368	tower	41.2370266	-8.5629466	1556207990						NA						NA	NA	
369	tower	41.237578	-8.5682959	1556207996						NA						NA	NA	
370	tower	41.2378801	-8.5826587	1556208051						NA						NA	NA	
371	tower	41.238018	-8.5726083	1556208054						NA						NA	NA	
372	tower	41.2384134	-8.5760041	1556208058						NA						NA	NA	
373	tower	41.238767	-8.5796017	1556208062						NA						NA	NA	
374	tower	41.1910979	-8.4419509	1562100098						NA						NA	NA	
375	tower	41.1943429	-8.4415288	1562101769						NA						NA	NA	
376	tower	41.1985121	-8.4410011	1562103069						NA						NA	NA	
377	tower	41.2019064	-8.4406389	1562103137						NA						NA	NA	
378	tower	41.204321	-8.4402969	1562103138						NA						NA	NA	
379	tower	41.2072995	-8.4399474	1562103139						NA						NA	NA	
